z,temp,oxygen,solidflux,phi,density,temp_grad,xi_grad,j_grad,temp_fluc,xi_fluc,phi_fluc,density_fluc
1221500.0,5740.950858907588,0.020782926349647138,-2.222117511544901e-07,0.004067372848033741,12197.774034933189,-0.0013333470427582305,3.117204916991324e-08,4.0771641572082295e-13,-23.472338792194016,59.20621185630772,3.503008378648226,39.23688144276193
1223015.1515151516,5738.935068698864,0.020829966408535523,-2.21594733679759e-07,0.004058234995070326,12196.717812646919,-0.0013275023260839317,3.0921024170206967e-08,4.0676631631311707e-13,-23.22872481191235,58.580870115794376,3.4976762235581584,38.849821527440184
1224530.303030303,5736.928105247704,0.020876627028758588,-2.209790651684839e-07,0.004049115850851066,12195.664111260248,-0.0013216959015311385,3.067119895106024e-08,4.059365212080392e-13,-22.986177570388417,57.96057256189553,3.492328351639149,38.46672334314626
1226045.4545454546,5734.9299097110115,0.020922910068837324,-2.2036456004815723e-07,0.004040013358482011,12194.612911425858,-0.0013159288658507573,3.0422627575256647e-08,4.0523140016937723e-13,-22.74468995626673,57.34529448778087,3.4869632601988463,38.087567791712985
1227560.606060606,5732.940421546272,0.020968817470956726,-2.1975102588828557e-07,0.004030925381327307,12193.564192824853,-0.0013102023661529512,3.017536644528981e-08,4.0465566540283727e-13,-22.504254652812058,56.73501007440654,3.4815793756688023,37.71233479726328
1229075.7575757578,5730.959578432346,0.021014351264643915,-2.191382628778042e-07,0.0040218496970109985,12192.517934122254,-0.0013045176037020931,2.992947447728528e-08,4.0421434993504743e-13,-22.264864128337493,56.12969234161873,3.4761750484317853,37.34100326171302
1230590.9090909092,5728.987316184694,0.02105951357070173,-2.185260633256562e-07,0.004012783991645003,12191.474112919967,-0.0012988758375301328,2.9685013267625335e-08,4.039128253616278e-13,-22.02651062595893,55.52931309586136,3.4707485478391407,36.97355101774158
1232106.0606060608,5727.023568665003,0.021104306605401857,-2.1791421113372805e-07,0.0040037258537225645,12190.43270570668,-0.0012932783882488954,2.944204726897624e-08,4.0375682064841345e-13,-21.789186152673143,54.933842874433395,3.465298056934321,36.60995477869458
1233621.2121212122,5725.06826768485,0.021148732684952168,-2.1730248124042164e-07,0.0039946727676553094,12189.393687804535,-0.0012877266420743695,2.9200643976332305e-08,4.037524420450732e-13,-21.552882467715154,54.34325088610077,3.459821666863231,36.250190085248846
1235136.3636363638,5723.121342903122,0.021192794230253904,-2.166906390331977e-07,0.003985622106932276,12188.357033312357,-0.0012822220550742897,2.8960874123618063e-08,4.039061941740652e-13,-21.31759107016145,53.757504947855395,3.4543173709522033,35.89423124864615
1236651.5151515151,5721.182721716804,0.02123649377196508,-2.160784397282176e-07,0.003976571126876654,12187.322715045251,-0.0012767661576531788,2.8722811891517157e-08,4.0422500236098064e-13,-21.083303185731076,53.17657141760316,3.44878305843209,35.54205129030417
1238166.6666666667,5719.2523291448015,0.0212798339558878,-2.1546562771517364e-07,0.003967516956975156,12186.290704470393,-0.0012713605592881393,2.8486535127163517e-08,4.04716236276131e-13,-20.85000975274563,52.600415122546,3.443216507786198,35.19362187758657
1239681.8181818181,5717.330087704372,0.021322817548697783,-2.1485193586527036e-07,0.00395845659275305,12185.260971638721,-0.0012660069535304977,2.8252125576411036e-08,4.0538773496093514e-13,-20.617701407195227,52.02899928301466,3.4376153796980717,34.84891325551751
1241196.9696969697,5715.415917279779,0.021365447444035814,-2.1423708480017493e-07,0.0039493868871658035,12184.23348511236,-0.0012607071232887295,2.801966912941896e-08,4.0624783331653857e-13,-20.386368466865214,51.462285431489946,3.4319772095732812,34.507894174198015
1242712.121212121,5713.509734982708,0.021407726668981934,-2.1362078211966395e-07,0.0039403045414767275,12183.208211887493,-0.0012554629464093605,2.778925608034795e-08,4.0730539013631546e-13,-20.156000914467086,50.90023332653627,3.42629939960793,34.17053181167711
1244227.272727273,5711.611455004001,0.02144965839093429,-2.1300272158561477e-07,0.003931206095588436,12182.185117312409,-0.0012502764015726207,2.756098140197036e-08,4.0856981776836435e-13,-19.926588379719927,50.342800861355386,3.4205792103751462,33.83679169201061
1245742.4242424243,5709.7209884562,0.02149124592491582,-2.1238258225970408e-07,0.003922087917792151,12181.164165000475,-0.0012451495745220168,2.7334945036108864e-08,4.100511134981708e-13,-19.698120120321676,49.7899439666526,3.4148137518974364,33.50663759822836
1247257.575757576,5707.838243206384,0.02153249274133374,-2.1176002759225553e-07,0.003912946193898864,12180.145316737708,-0.0012400846646460585,2.7111252200779973e-08,4.117598927469826e-13,-19.47058500174677,49.24161650748384,3.4089999741726897,33.18003147990976
1248772.7272727273,5705.963123698769,0.021573402474217504,-2.111347044592932e-07,0.003903776915711322,12179.12853238464,-0.001235083991933806,2.689001371507798e-08,4.137074241856298e-13,-19.24397147580699,48.69777017374159,3.4031346571170715,32.856933355051666
1250287.878787879,5704.095530766459,0.021613978929963293,-2.1050624214491632e-07,0.003894575868795303,12178.113769772142,-0.0012301500043245543,2.6671346342777974e-08,4.159056668692919e-13,-19.018267557900806,48.15835436390723,3.3972143998875377,32.53730120589396
1251803.0303030303,5702.235361431743,0.021654226096613723,-2.0987425126578007e-07,0.0038853386195040127,12177.100984590857,-0.0012252852854753933,2.6455373155796855e-08,4.1836730950350423e-13,-18.7934608028789,47.62331606168851,3.391235609542484,32.22109086835209
1253318.1818181819,5700.382508694317,0.021694148153704216,-2.0923832263441705e-07,0.003876060501207463,12176.090130273842,-0.001220492562969422,2.6242223918612664e-08,4.2110581195759627e-13,-18.569538279450356,47.09259970512362,3.385194488997204,31.908255914670466
1254833.3333333333,5698.53686130669,0.02173374948270843,-2.0859802605786256e-07,0.0038667365996743943,12175.081157872064,-0.0012157747169910874,2.6032035494915044e-08,4.241354491471764e-13,-18.346486543039337,46.566147047721635,3.379087024226889,31.598747528909186
1256348.4848484849,5696.698303536093,0.021773034678117444,-2.0795290906793683e-07,0.003857361737551352,12174.074015922279,-0.0012111347894942304,2.582495227772573e-08,4.2747135741346217e-13,-18.124291607011443,46.04389701117787,3.37290897066715,31.292514374833576
