z,temp,oxygen,solidflux,phi,density,temp_grad,xi_grad,j_grad,temp_fluc,xi_fluc,phi_fluc,density_fluc
1222360.4564160118,-5080.293543375429,-19295.222940368556,-3.1191972855177534e-07,0.004983519954950291,255242555.86109862,-0.001332594703647156,1.0529109791446218e-07,5.1072930613073e-13,1284.3058263322691,256507418.65030503,-1278305.2523448844,255230397.7037865
1222379.161990273,-5080.31847561467,-19295.222919957578,-3.11930940872839e-07,0.004983591704947538,255242537.18152112,-0.0013331899325714507,1.0532386826229367e-07,5.107399838505875e-13,1284.3088394642969,256507418.3789653,-1278323.6553331774,255230379.03247157
1222397.867564534,-5080.3434140030195,-19295.222917432122,-3.119448229487293e-07,0.0049836890440706026,255242512.17474905,-0.0013333751283625963,1.0533370901672342e-07,5.107550307122899e-13,1284.3118533394615,256507418.34539238,-1278348.623283429,255230354.0339623
1222416.5731387953,-5080.368358831307,-19295.22291300406,-3.1195792439629107e-07,0.004983778896887134,255242489.06309694,-0.001333606229157214,1.0534611629513974e-07,5.107687998357772e-13,1284.314867992911,256507418.28652656,-1278371.6708213491,255230330.93057323
1222435.2787130564,-5080.393310541725,-19295.222889087378,-3.119676994580919e-07,0.0049838368621418,255242473.87302536,-0.001334286570945409,1.0538364379519018e-07,5.10777124892858e-13,1284.317883478086,256507417.96858263,-1278386.5377012389,255230315.74876487
1222453.9842873174,-5080.418269614974,-19295.222884699902,-3.119808230387128e-07,0.004983926921380732,255242450.70896274,-0.001334517431485259,1.0539603639773587e-07,5.107909295863286e-13,1284.3208998530797,256507417.91025636,-1278409.6381904923,255230292.59296572
1222472.6898615784,-5080.443236495767,-19295.222878447068,-3.1199309634222247e-07,0.004984008827596065,255242429.61153024,-0.0013347947106776361,1.0541102407138782e-07,5.108033426892044e-13,1284.3239171716373,256507417.82713234,-1278430.647252617,255230271.5037969
1222491.39543584,-5080.468211481572,-19295.22285109644,-3.120013047573737e-07,0.00498405177040788,255242418.22939247,-0.0013355611147833708,1.054533612994328e-07,5.10809103693623e-13,1284.3269354697088,256507417.46353823,-1278441.660550691,255230260.12992302
1222510.101010101,-5080.493194832189,-19295.222844887878,-3.120136001610545e-07,0.004984133883590282,255242397.07945874,-0.0013358381464930451,1.0546833369013319e-07,5.108215524122254e-13,1284.3299547786914,256507417.38100275,-1278462.7227040995,255230238.9882534
1222528.8065843622,-5080.518186811172,-19295.22283741281,-3.120252368151619e-07,0.004984209680277936,255242377.53299507,-0.0013361491471213772,1.0548520486358191e-07,5.108329230158566e-13,1284.332975130437,256507417.2816306,-1278482.1645516371,255230219.45005408
